Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
280	-4493.171	-4510.251	17.08029	4.560277e+07	0.224814	0.000886091	0.00471202	0.00380349	0.00138053	0.00782938	0.0228217	0.0273417	0.0413901	0.0073857	0.00353916	0.00279637	0.0161681	0.101252	0.0130434	0.0806328	0.0486084	0.0609224	0.0762572	0.0213846	0.0174697	0.0340842	0.0168676	0.0131069	0.0524044	0.0206776	0.00689557	0.0249665	0.0244057	0.00985612	0.018201	0.100169	0.00557722	0.0189538	0.0566967	0.0282797	0.610694	0.0267009	0.0142237	0.307236	0.0128657	0.999812	0.999952	1.00005	1.00019	0.277203	0.397223	0.106507	0.219068	0.6023383	1.187301
290	-4484.141	-4501.574	17.43277	3.46636e+07	0.340874	0.000269006	0.0136865	0.00336783	0.000747003	0.00548741	0.0188231	0.0312095	0.0413901	0.0073857	0.00641778	0.00671526	0.0141416	0.0890271	0.0113824	0.0491771	0.0560639	0.0451274	0.0721676	0.0108483	0.0168641	0.0258405	0.0203774	0.0577429	0.03195	0.0124326	0.00266492	0.0248536	0.0124745	0.00976988	0.0185389	0.0541153	0.00369398	0.0198177	0.0166085	0.0253722	0.683999	0.0250941	0.0120901	0.227905	0.02554	0.999784	0.999945	1.00005	1.00022	0.278511	0.394792	0.0921054	0.234592	0.6251947	1.152054
300	-4494.117	-4510.378	16.26072	9.445903e+07	0.396133	0.00520137	0.00340681	0.000994033	0.00607033	0.00559511	0.0108687	0.040328	0.0458254	0.0023292	0.00267229	0.00400012	0.010486	0.0755399	0.041069	0.0549413	0.0537274	0.059066	0.0853766	0.0115497	0.0366221	0.0423342	0.0104964	0.0284708	0.0327725	0.00887989	0.00262355	0.0355535	0.0296791	0.00138463	0.0098289	0.0924958	0.00243391	0.00389424	0.0166085	0.0209541	0.670336	0.0279905	0.0211654	0.248658	0.010896	0.99987	0.999966	1.00003	1.00013	0.284915	0.411329	0.0981416	0.205614	0.6253567	1.269259
310	-4475.891	-4493.872	17.98168	8246037	0.354367	0.00203332	0.00916215	0.000759936	0.000180687	0.00561069	0.0089127	0.0245359	0.0335861	0.00510548	0.00238106	0.00625135	0.0131027	0.0855699	0.0183162	0.0505335	0.0510829	0.0436924	0.0455089	0.0212883	0.0387943	0.0220662	0.0210303	0.0352489	0.0128011	0.00221055	0.00270812	0.0110776	0.01659	0.00402968	0.00636174	0.0653057	0.00253078	0.0287312	0.0456961	0.0185672	0.645753	0.0376295	0.0142648	0.278206	0.00557915	0.999557	0.999887	1.00011	1.00044	0.296125	0.377623	0.0974285	0.228824	0.6356919	1.097163
320	-4479.859	-4496.899	17.0399	8.902213e+07	0.40393	0.00400536	0.00386592	0.00237163	0.000687309	0.00521665	0.017313	0.0177598	0.0398388	0.0038382	0.00314197	0.00127388	0.0144346	0.0704683	0.0248243	0.0606707	0.0392428	0.0697165	0.0842744	0.00821564	0.0291276	0.0304839	0.0169555	0.0378794	0.0096933	0.00583398	0.00826598	0.0394215	0.0244371	0.000428862	0.0103079	0.0575698	0.000418678	0.0151533	0.0302739	0.0321544	0.570316	0.0190941	0.0107274	0.358887	0.0088211	0.999865	0.999965	1.00004	1.00013	0.300139	0.38857	0.103841	0.20745	0.6233353	1.191341
330	-4485.093	-4502.414	17.321	3.803658e+07	0.433289	0.0052602	0.006997	0.000355686	0.00265191	0.0147517	0.0120869	0.0181201	0.0328961	0.00742606	0.00742377	0.00329409	0.0155227	0.0650273	0.0291614	0.0460705	0.0425933	0.0410958	0.0582329	0.0155819	0.0134048	0.0365435	0.0181996	0.0278269	0.0102961	0.0147769	0.00253111	0.0200931	0.0217226	0.00112026	0.0138132	0.0590401	0.00260696	0.0151281	0.0482883	0.0174458	0.58364	0.0256713	0.0178882	0.323754	0.0316007	0.999794	0.999947	1.00005	1.00021	0.282887	0.410407	0.111182	0.195525	0.6411895	1.16323
340	-4481.964	-4497.861	15.89741	4.956804e+07	0.429805	0.000318832	0.0144314	0.00154591	0.000522578	0.0020309	0.031404	0.0287168	0.0419523	0.00451126	0.0027318	0.00523472	0.0239882	0.119504	0.0289724	0.0689924	0.046122	0.0547748	0.0690667	0.0253803	0.0494645	0.0279403	0.0231006	0.0278269	0.0130972	0.00770142	0.00168889	0.0218241	0.0193787	0.00269605	0.0196243	0.0600809	0.00182199	0.0148681	0.0144686	0.0201444	0.609725	0.0296421	0.0149188	0.311014	0.0145555	0.999819	0.999954	1.00005	1.00018	0.306528	0.391965	0.0986885	0.202818	0.5928035	1.305589
350	-4479.7	-4497.313	17.61304	4.15924e+07	0.296004	0.000598434	0.00879318	5.3718e-05	0.0032735	0.00342873	0.0183026	0.0228924	0.0336404	0.00505565	0.00399375	0.00268554	0.0106107	0.0797617	0.030493	0.0509319	0.0518793	0.0799402	0.069088	0.0177212	0.0413724	0.0356463	0.0139298	0.0153114	0.020879	0.0157946	0.00337156	0.0153257	0.0196821	0.0103309	0.00661973	0.0728927	0.00312378	0.0227733	0.047826	0.0167899	0.6116	0.0368973	0.0146208	0.311971	0.00812049	0.999803	0.999949	1.00005	1.0002	0.286488	0.403322	0.109898	0.200292	0.6392442	1.134027
360	-4476.573	-4494.762	18.18873	7.778624e+07	0.27167	0.000195782	0.00631115	0.000462265	0.00675945	0.00827451	0.0199691	0.0190876	0.0384559	0.00558605	0.00374217	0.00782041	0.0148803	0.0643449	0.0432175	0.0420953	0.0402722	0.0546418	0.0924162	0.0169265	0.0159457	0.0268226	0.0179863	0.0306804	0.0307297	0.00770709	0.00157652	0.0277796	0.0149554	0.000281062	0.0175944	0.0778321	0.00855709	0.0238081	0.0170724	0.0237008	0.59441	0.0299369	0.0168045	0.321096	0.0140518	0.999856	0.999963	1.00004	1.00014	0.314237	0.371459	0.103729	0.210574	0.6119528	1.076458
370	-4487.925	-4503.525	15.59978	8.347374e+07	0.458545	0.00354592	0.00903346	0.00243325	0.000786167	0.00232101	0.00737748	0.0325887	0.0495558	0.00325635	0.0134366	0.00185377	0.0260504	0.0887264	0.0181831	0.0561104	0.0364205	0.0728224	0.0691808	0.0320912	0.0303083	0.029866	0.0122185	0.0419927	0.0127343	0.007757	0.00133359	0.0377845	0.0227325	0.0001612	0.00804429	0.0857426	0.0166469	0.0185148	0.0251969	0.0151173	0.655939	0.0320808	0.0190846	0.274496	0.00328213	0.999861	0.999964	1.00004	1.00014	0.297513	0.391168	0.102971	0.208348	0.6099435	1.335353
