Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
200	-4120.563	-4121.696	1.133227	1.94426e+07	366201	0.285986	0.00103077	0.00987803	0.000380992	0.000663912	0.00158563	0.0125576	0.0212768	0.0234598	0.00103489	0.00306194	0.00839431	0.0163821	0.0868423	0.0134209	0.0521235	0.0242657	0.0728389	0.0821669	0.0149562	0.00475117	0.0728309	0.0328658	0.0245454	0.0171678	0.0235551	0.0364928	0.00585708	0.00483713	0.0164767	0.0168247	0.0966355	0.00721554	0.0123288	0.0483222	0.236013	2.52797	0.157342	0.842658	0.82399	0.0293249	1.153013
210	-4125.512	-4126.692	1.180174	6.29317e+07	3.02526e+07	0.296303	0.00291868	0.00758826	0.00149888	0.000697586	0.00776712	0.0123795	0.022215	0.0279207	0.00164051	0.00151992	0.00936456	0.026874	0.108257	0.03145	0.049116	0.0258081	0.0473985	0.0782957	0.0327164	0.0056622	0.0176532	0.0283543	0.0276866	0.0320313	0.0276949	0.0361099	0.0021135	0.00372228	0.0125479	0.0221452	0.0982153	0.0176833	0.0109794	0.0259825	0.239921	2.52016	0.159947	0.840053	0.775439	0.0388673	1.160312
220	-4118.924	-4119.203	0.2792278	9.35207e+07	9.13512e+07	0.308007	0.0037797	0.00780483	0.00099309	0.00298965	0.00438003	0.0108322	0.0307369	0.0292461	0.00304183	0.00394698	0.00672256	0.0186611	0.0830513	0.0207087	0.03883	0.0337135	0.0473985	0.10744	0.00754235	0.00373289	0.0506122	0.0158253	0.0440425	0.0230184	0.0320894	0.0563235	0.00177319	0.00390024	0.0133374	0.0065104	0.0714538	0.0183045	0.0175133	0.0284547	0.21142	2.57716	0.140947	0.859053	0.809812	0.00686594	1.156719
230	-4134.333	-4133.763	-0.5697494	9.60453e+07	6.07991e+07	0.345775	0.002572	0.0111116	0.000674792	0.00171054	0.00244181	0.0168838	0.0184222	0.00964481	0.00122346	0.0036759	0.0012239	0.0152386	0.10737	0.0173961	0.0348443	0.0366237	0.0328177	0.121382	0.0070239	0.0122365	0.0609142	0.0159393	0.0435343	0.0163327	0.032262	0.0630964	0.0128384	0.00712987	0.0183574	0.00372911	0.0593194	0.00632255	0.0154328	0.0280304	0.195838	2.60832	0.130559	0.869441	0.769102	0.0243769	1.183531
240	-4118.203	-4117.366	-0.8364058	9.22243e+07	3.31424e+07	0.34119	0.00709014	0.00203044	0.000511594	0.0018947	0.00902302	0.0124604	0.0259849	0.0273951	0.00164378	0.00229395	0.00275471	0.023722	0.117512	0.0188682	0.0610468	0.034854	0.0411472	0.0843623	0.0161984	0.00641011	0.0656645	0.0322467	0.0448696	0.0198065	0.0243676	0.0385989	0.0016911	0.0097582	0.0138268	0.00121369	0.0843159	0.0257218	0.0208289	0.0343815	0.207916	2.58417	0.138611	0.861389	0.760869	0.0383497	1.255686
250	-4118.398	-4118.059	-0.3383086	5.57182e+07	1.53199e+06	0.271224	0.00926212	0.000294405	0.000232212	0.00260507	0.00497915	0.0128171	0.0211791	0.035111	0.00212042	0.00740707	0.00362876	0.0122	0.106758	0.0209073	0.0504396	0.0390124	0.0776228	0.0846657	0.0294109	0.00624463	0.0459836	0.0220847	0.0225397	0.0299074	0.0295239	0.0585193	0.000665201	0.00454886	0.0208817	0.0152101	0.0778879	0.0242593	0.0238211	0.0243567	0.205846	2.58831	0.137231	0.862769	0.806181	0.00736389	1.198311
260	-4122.877	-4122.338	-0.5397776	6.43905e+07	4.5425e+07	0.349042	0.0091453	0.000278751	0.000986377	0.00242502	0.0060069	0.0153884	0.0272804	0.020939	0.00656274	0.00495477	0.00992063	0.0166112	0.0996378	0.0223852	0.0605856	0.0150011	0.0501724	0.0772151	0.0148435	0.00384925	0.0387099	0.020533	0.0196237	0.0144376	0.0370083	0.0407477	0.00294603	0.00395428	0.0151849	0.0261684	0.0977614	0.00786494	0.0205825	0.0543194	0.204388	2.59122	0.136259	0.863741	0.788783	0.00903634	1.213074
270	-4130.089	-4129.347	-0.7414182	7.51067e+07	1.78903e+07	0.349133	0.00343481	0.00114915	0.00185081	0.00157632	0.00344895	0.0267859	0.0147666	0.0293615	0.0025359	0.00298188	0.000972527	0.0212835	0.0920619	0.0128284	0.044678	0.0297666	0.0326516	0.0813707	0.0454672	0.000685552	0.0326902	0.0431645	0.0240238	0.0267797	0.042805	0.0502934	0.000810553	0.0111337	0.0159212	0.0186248	0.0848453	0.0267963	0.0241502	0.0324085	0.204388	2.59122	0.136259	0.863741	0.813108	0.0113194	1.233238
280	-4127.212	-4128.171	0.9590566	1.408e+07	4.81735e+07	0.256882	0.00254067	0.00223578	0.00260617	0.00242319	0.00348294	0.00689706	0.031595	0.0335602	0.00464974	0.00559823	0.00101423	0.0128312	0.0817273	0.0188747	0.0568227	0.031548	0.0357143	0.0852241	0.0296098	0.00504714	0.0531172	0.0288625	0.0388014	0.0192793	0.0496087	0.0268734	0.00310015	0.0112301	0.0176429	0.0225657	0.0592112	0.0242766	0.0218511	0.0314033	0.220054	2.55989	0.146702	0.853298	0.746006	0.0113194	1.118708
290	-4123.787	-4124.597	0.8101991	1.20095e+07	5.81565e+07	0.276087	0.00190564	0.00783451	0.000855305	0.000547131	0.00662639	0.0143762	0.0264012	0.0180552	0.00654823	0.00380807	0.000492484	0.0164724	0.0941335	0.0196021	0.047908	0.0432549	0.0481495	0.0808494	0.027643	0.00402449	0.0350592	0.0241833	0.0278881	0.0114441	0.0291268	0.0260777	0.00196289	0.00836882	0.0185852	0.0104515	0.0916228	0.00836928	0.0155203	0.0391864	0.208577	2.58285	0.139051	0.860949	0.812345	0.0196598	1.093421
300	-4118.081	-4119.235	1.154163	7.49231e+07	6.54083e+07	0.316058	0.00323271	0.0033646	0.000117003	0.00111458	0.00616535	0.011084	0.0220871	0.016698	0.00538488	0.000998355	0.00570041	0.017011	0.0850034	0.0454674	0.0502312	0.0383195	0.0331005	0.0614282	0.0094134	0.00187136	0.045227	0.0326327	0.0414448	0.0168561	0.0383692	0.0462082	0.00455701	0.0104809	0.0280289	0.0273611	0.0799693	0.00531099	0.0158832	0.045177	0.242722	2.51456	0.161815	0.838185	0.777907	0.0382857	1.171358
310	-4125.062	-4124.071	-0.9910237	6.22526e+07	6.78372e+07	0.329809	0.00264394	0.00441257	1.41204e-05	0.00317628	0.0039428	0.0231463	0.0340731	0.0139643	0.00575034	0.00262709	0.0032971	0.00994454	0.0800514	0.0101297	0.0812617	0.0344984	0.0533781	0.116344	0.00351835	0.00386417	0.0780826	0.0240615	0.0498114	0.0209375	0.0584521	0.0854522	0.00300032	0.0124889	0.0152076	0.00947178	0.0781925	0.00470011	0.00910765	0.0336994	0.216776	2.56645	0.144518	0.855482	0.772607	0.0327309	1.302513
320	-4129.606	-4130.55	0.9441985	9.47915e+07	9.53111e+07	0.364853	0.0017019	0.00820205	0.000145574	0.00250244	0.00192586	0.00967701	0.0231924	0.0131548	0.00102104	0.00333469	0.00661698	0.0112812	0.0816323	0.0245872	0.0480194	0.0530745	0.0437942	0.0636475	0.00953652	0.00160673	0.0310963	0.0227436	0.0563322	0.0240124	0.0631672	0.0672857	0.0024527	0.0166425	0.0158754	0.0208136	0.0894377	0.00729494	0.00960786	0.0414885	0.259989	2.48002	0.173326	0.826674	0.786442	0.0160296	1.241758
330	-4116.293	-4116.355	0.06184151	8.90998e+07	2.99949e+07	0.357373	0.00427992	0.00352858	0.0017038	0.00594833	0.00311095	0.0202359	0.0276135	0.0306313	0.0022878	0.00641879	0.00309827	0.0181763	0.0967371	0.0171721	0.0679772	0.0529153	0.0529231	0.0610758	0.0334646	0.00153611	0.0334963	0.0245063	0.0500674	0.0249043	0.0233668	0.0352708	0.00175146	0.0135304	0.0187688	0.0184783	0.0832866	0.00743428	0.0133277	0.0526026	0.238888	2.52222	0.159259	0.840741	0.785804	0.0242282	1.269
340	-4122.054	-4122.147	0.09296472	6.06098e+06	1.36183e+07	0.39167	0.00514023	0.00561988	0.00085934	0.00310167	0.00673033	0.0139411	0.048105	0.0300297	0.00472162	0.00947535	0.00226671	0.012359	0.0852447	0.0248139	0.0868001	0.0267612	0.0556248	0.0840614	0.018236	0.00142076	0.0455213	0.0238473	0.0308351	0.0211744	0.0491295	0.0424131	0.00449454	0.00432976	0.0143955	0.00695097	0.103178	0.00221402	0.00868772	0.0318106	0.252489	2.49502	0.168326	0.831674	0.752911	0.00455626	1.305964
350	-4120.386	-4120.701	0.3153086	3.71203e+07	9.96163e+07	0.350021	0.00679293	0.0032916	0.00145196	0.00188119	0.00630729	0.0141881	0.0212783	0.0252675	0.00548841	0.00397394	0.00276663	0.0227905	0.0820746	0.0110818	0.0438628	0.0377961	0.0321889	0.0686783	0.050652	0.00499791	0.0396621	0.0218465	0.0617298	0.0262827	0.0245673	0.0171383	0.00155821	0.00295877	0.0148625	0.00891031	0.0831452	0.0171843	0.0119159	0.0437098	0.216899	2.5662	0.144599	0.855401	0.779936	0.0275079	1.172303
360	-4118.26	-4118.754	0.494267	8.86974e+07	6.75638e+07	0.308911	0.00328289	0.00437293	0.000377189	0.000488655	0.00259216	0.0171626	0.0250259	0.0419688	0.00481303	0.00450046	0.00869008	0.0179784	0.0942254	0.0276349	0.0609749	0.0312634	0.0654726	0.0644147	0.0537185	0.00808573	0.0411689	0.0215988	0.0553157	0.0228802	0.0373284	0.0090104	0.00315908	0.000184502	0.022644	0.0108224	0.0989224	0.0103347	0.00825617	0.0288588	0.235862	2.52828	0.157241	0.842759	0.778364	0.0292439	1.216439
370	-4130.668	-4131.734	1.066621	7.3932e+07	3.23349e+07	0.370288	0.0023059	0.000381372	4.60132e-05	0.000100415	0.00237595	0.0196772	0.00951846	0.0233446	0.00336999	0.00832953	0.00709994	0.018511	0.083012	0.0228704	0.0564142	0.0505764	0.0580521	0.0695926	0.031625	0.0202953	0.0290276	0.0298177	0.00755719	0.0423194	0.0492721	0.041693	0.00225517	0.00132714	0.0150496	0.0249755	0.0503906	0.00740391	0.0165262	0.0396634	0.254777	2.49045	0.169852	0.830148	0.785628	0.00326448	1.215065
380	-4129.495	-4128.904	-0.5909514	3.34807e+07	3.21859e+06	0.281856	0.00444089	0.000751283	0.000167901	6.90945e-05	0.00475647	0.0169926	0.0347865	0.026158	0.00370071	0.0038856	0.00561664	0.0292429	0.11018	0.00881006	0.0622948	0.0366261	0.0507545	0.0759108	0.0448256	0.00272279	0.0462249	0.0146034	0.038084	0.0362971	0.0373541	0.061025	0.00607341	0.00743783	0.0167824	0.0103033	0.0664361	0.00726468	0.0176287	0.0291877	0.199358	2.60128	0.132905	0.867095	0.845981	0.0235508	1.199253
390	-4114.146	-4114.405	0.2584424	7.31296e+07	7.76217e+07	0.348512	0.00818617	0.000615508	0.00227126	0.000198312	0.00322023	0.0118242	0.0255924	0.0319229	0.0082038	0.00364047	0.0025257	0.0166752	0.0795419	0.0156353	0.0658554	0.0467588	0.0541585	0.061938	0.0283412	0.00543675	0.0398822	0.0223725	0.0293605	0.0326863	0.0298426	0.0457936	0.00287353	0.00291315	0.0194143	0.015103	0.0895376	0.00879701	0.0221469	0.0207037	0.224149	2.5517	0.149433	0.850567	0.79254	0.00834312	1.202481
400	-4116.577	-4113.728	-2.848742	5.51411e+07	1.41802e+07	0.433188	0.00804646	0.00119261	0.00118647	0.000347677	0.00441171	0.0129955	0.0296782	0.0366276	0.00514605	0.00809109	0.00415666	0.0190727	0.0993384	0.005929	0.0595546	0.0318623	0.0561949	0.0908565	0.0358063	0.00639867	0.0467027	0.0322883	0.0285009	0.01881	0.0484975	0.0466296	0.00607067	0.00887765	0.0151169	0.0263876	0.0729358	0.0108919	0.00843652	0.0359888	0.182291	2.63542	0.121527	0.878473	0.784955	0.0538349	1.356216
410	-4120.933	-4123.314	2.381356	4.69008e+07	1.40718e+07	0.308454	0.00278438	0.00439573	0.00152482	0.00178258	0.00389745	0.0169956	0.0389264	0.0250689	0.00400013	0.00711766	0.00427401	0.0116415	0.0895569	0.0358545	0.0425883	0.0221842	0.0415296	0.0719237	0.03198	0.00240968	0.0198817	0.0270725	0.0274207	0.0203591	0.0408642	0.00976353	0.000551981	0.00345642	0.0086825	0.025548	0.0839667	0.0101805	0.00387598	0.0513745	0.2614	2.4772	0.174267	0.825733	0.771568	0.0136	1.101888
420	-4122.474	-4122.188	-0.2865148	8.47998e+07	3.0933e+06	0.341838	0.0074506	0.00508379	0.000158332	0.00222946	0.00556449	0.00807877	0.0195455	0.0351472	0.0091323	0.00273108	0.0125086	0.0160653	0.0887526	0.00331471	0.0821272	0.0258036	0.0584167	0.0813706	0.0451783	0.000809766	0.0318548	0.025715	0.0387124	0.0366188	0.0269953	0.0383236	0.00370716	0.00450355	0.0235735	0.0191724	0.0636325	0.0219413	0.00754615	0.0376913	0.216554	2.56689	0.144369	0.855631	0.805515	0.00849683	1.231294
430	-4128.809	-4128.525	-0.2830065	6.49813e+07	1.67982e+07	0.414342	0.00147608	0.0074099	0.00252219	0.00095831	0.00485978	0.0100076	0.0297639	0.0340073	0.00344575	0.0050662	0.00669701	0.00852432	0.0793715	0.0342188	0.0662875	0.0267888	0.0669433	0.0619895	0.030664	0.0102956	0.0519537	0.0156178	0.0340716	0.016244	0.0505467	0.0150089	0.00786364	0.014292	0.0136509	0.0210071	0.0746443	0.000876689	0.00356973	0.0165071	0.219635	2.56073	0.146423	0.853577	0.779806	0.0295077	1.241494
440	-4123.252	-4123.123	-0.129344	2.88415e+07	4.88326e+07	0.337734	0.000970941	0.00334654	0.00176411	0.000188269	0.00514868	0.010224	0.0325271	0.0361501	0.00219046	0.00795175	0.00818272	0.0183346	0.0455685	0.025776	0.0663225	0.024072	0.050231	0.0763709	0.0227049	0.00653875	0.0524192	0.0233592	0.0195341	0.0147841	0.0344032	0.0441537	0.00296235	0.00215021	0.0248893	0.0149769	0.10266	0.00101138	0.0132126	0.0261902	0.200912	2.59818	0.133941	0.866059	0.820832	0.0508737	1.159004
450	-4117.703	-4120.344	2.641276	8.80271e+06	1.40109e+07	0.266581	0.00331867	0.00466488	0.000497672	0.00126845	0.00379606	0.018509	0.0176258	0.0459245	0.00646373	0.00410908	0.00536458	0.0130009	0.111311	0.00530069	0.0619638	0.0246284	0.05238	0.0696087	0.0353047	0.00208942	0.0149471	0.0227301	0.043867	0.0329014	0.0248722	0.0286764	0.0023162	0.000594805	0.00945127	0.017116	0.0676746	0.0113495	0.0147126	0.0284749	0.260481	2.47904	0.173654	0.826346	0.78315	0.00977693	1.073395
460	-4119.503	-4118.076	-1.426698	3.97141e+07	4.18599e+07	0.440221	0.00626787	0.00335273	2.2734e-05	0.0013825	0.0047981	0.0125913	0.0379447	0.0250253	0.00151054	0.00745367	0.00982265	0.0116384	0.0825458	0.00823707	0.047233	0.0359461	0.0421768	0.0918014	0.0172697	0.00462944	0.0356985	0.0242149	0.0470584	0.0186589	0.0341984	0.0651026	0.00259002	0.00355216	0.0194868	0.0210311	0.0620863	0.0261472	0.00805981	0.0385589	0.20346	2.59308	0.13564	0.86436	0.776237	0.00195383	1.298314
